Phrase,Definition,Type
āhei,to allow,Maori
ahi,fire,Maori
ahiahi,"early evening, afternoon ",Maori
aho,"string, fishing line",Maori
aho,"light, to shine",Maori
ahu,move in a certain direction,Maori
ahu,to heap up,Maori
ahu,to look after,Maori
āhua,"shape, form, appearance",Maori
āhuatanga,"property, characteristic, feature, circumstance, āhua + nominal suffix -tanga",Maori
ai,"Not translatable into an English word; verbal particle; used in various subordinate structures, for example relative clauses, adverbials",Maori
aihikirīmi,ice-cream,Maori
aituā,accident; to have an accident,Maori
aituā,disaster; to suffer a disaster,Maori
ākau,"shore, coast",Maori
ake,"Various uses and meanings, eg upwards, as in: piki ake, titiro ake; comparative as in: nui ake; own, as in: tōku whānau ake",Maori
ako,"to learn, to teach",Maori
ākonga,"student, learner",Maori
akoranga,thing that is taught or learnt,Maori
aku,"my, mine, plural form of taku, neutral for possession category",Maori
āku,"my, mine, for ā category items, plural form of tāku",Maori
ākuanei,"soon, presently",Maori
ana,Verbal particle showing ongoing action as in: e haere ana,Maori
ana,"his, her, plural form of tana, neutral for possession category",Maori
ana,cave,Maori
anā,"there, by you",Maori
āna,"his, her, plural, for ā category items",Maori
anake,"only, just",Maori
anei,"here, by me",Maori
anga,face or move in a certain direction,Maori
anga,shell,Maori
anō,"Various meanings, eg again; also, too; self(reflexive) as in: ki a ia anō",Maori
ao,"world, dawn, cloud",Maori
aorangi,planet,Maori
āpōpō,tomorrow,Maori
āporo,apple,Maori
ara,path,Maori
ara,to rise,Maori
arā,"over there, away from us both",Maori
ārahi,"to lead, guide",Maori
ārai,"curtain; to screen off, block",Maori
ariki,"chief, leader",Maori
aro,"to face, turn towards",Maori
aroha,"love, sympathy, compassion",Maori
ata,"morning, shadow",Maori
āta,"gently, carefully, deliberately",Maori
ātaahua,"beautiful, well formed",Maori
atawhai,to show kindness towards,Maori
ātea,open space,Maori
ātea,outer space,Maori
atu,away from current orientation,Maori
atua,god,Maori
au,"I, me",Maori
āu,"your, plural form of tāu, ā category possession.",Maori
aua,"I don’t know, as in: He aha tērā? Aua!",Maori
aua,"those (previously mentioned), plural of taua",Maori
auahi,smoke,Maori
auau,"to bark, howl",Maori
auē,"Alas! An expression of woe, sadness",Maori
awa,river,Maori
āwangawanga,worried,Maori
awatea,daylight,Maori
awhi,"to hug, embrace",Maori
āwhina,to help,Maori
ehara,"Negative used for nominal sentences, as in:",Maori
ehara,"Exclamation: Sure enough, without a doubt.",Maori
eke,to climb up on,Maori
eke,"to embark, get onto",Maori
ēnā,"those, near you; plural of tēnā",Maori
ēnei,"these, near me; plural of tēnei",Maori
engari,"but, on the contrary",Maori
ērā,"those, over there; plural of tērā",Maori
ētahi,some; plural of tētahi,Maori
ētehi,some; plural of tētehi (variant of ētahi),Maori
ha,what!,Maori
hā,breath,Maori
haere,"go, come",Maori
hāereere,"to wander, roam",Maori
haerenga,journey,Maori
hai,as for hei (variant of hei),Maori
haina,"to sign (a letter, document)",Maori
haka,"to perform traditional dance; haka, a traditional dance, war dance",Maori
hākari,feast,Maori
haki,flag,Maori
hākinakina,sport; to play sport,Maori
hāmama,"to yell, shout",Maori
hāmama,"open, gaping",Maori
hanga,"to build, erect, make",Maori
hāngai,"opposite, facing",Maori
hangaia,hanga + passive suffix -ia,Maori
hangarau,technology,Maori
hāngi,traditional earth oven,Maori
hao,"to catch in a net, a net",Maori
hāora,hour,Maori
hāora,oxygen,Maori
hāparangi,"to shout, bawl",Maori
hapū,subtribe,Maori
hapū,pregnant,Maori
hara,to make a mistake; mistake,Maori
harakeke,flax,Maori
haramai (haere mai),come,Maori
hararei,holiday,Maori
hari,"to carry, take",Maori
hari,to feel happy,Maori
haria,hari + passive suffix -a,Maori
harikoa,happy,Maori
haruru,to resound; a heavy sound,Maori
hau,"wind, air, breath",Maori
haunga,"smelly, stinky",Maori
hāunga,besides,Maori
hauora,"health, healthy",Maori
haurua,half,Maori
hāwhe,half,Maori
he,"a, some",Maori
hē,"wrong; error, mistake",Maori
hea,where?,Maori
hei,"Various meanings, eg future preposition, at, in, with, for, to, as a ",Maori
heihei,chicken,Maori
heke,"to descend, go down",Maori
heke,rafter,Maori
hekenga,descent,Maori
hēki,egg,Maori
hemo,to be dead,Maori
hemo,"to pass by, be gone",Maori
hēoi,"and so, therefore",Maori
here,"to tie, to bind",Maori
herea,here + passive suffix -a,Maori
hī,to catch fish with a line,Maori
hia,how many?,Maori
hiahia,to want,Maori
hika,a term of address for both sexes: E hika,Maori
hiki,"to lift up, raise",Maori
hiki,"to carry in the arms, to nurse",Maori
hiko,lightning; to flash,Maori
hiko,electricity,Maori
hīkoi,to walk,Maori
hīkoi,"to step, tread",Maori
hine,Term of address for a girl: E hine!,Maori
hinengaro,"mind, intellect",Maori
hinga,to fall from an upright position,Maori
hinu,"oil, fat",Maori
hipi,sheep,Maori
hoa,friend,Maori
hoariri,enemy,Maori
hoatu,to give (away from speaker),Maori
hoe,"to paddle, row",Maori
hōhā,"annoyed, a nuisance",Maori
hōhonu,deep,Maori
hōia,"soldier, warrior",Maori
hōiho,horse,Maori
hoki,"also, too",Maori
hoki,"to go back, return",Maori
hokinga,return,Maori
hoko,"to buy, sell",Maori
hokohoko,"to shop, trade",Maori
hokona,hoko + passive suffix -na,Maori
hōmai,to give (to speaker),Maori
hono,to join together,Maori
hopu,to catch,Maori
horo,quick,Maori
horo,"to crumble, to fall down",Maori
horoi,"to wash, to clean",Maori
hou,new,Maori
hū,shoe,Maori
hua,fruit,Maori
hua,egg,Maori
hua,product,Maori
huakina,to open,Maori
huarahi,"path, road",Maori
hui,meeting,Maori
huia,"a treasured bird, now extinct",Maori
huka,foam,Maori
huka,"ice, frost",Maori
huka,sugar,Maori
huna,to hide,Maori
hunga,group of people,Maori
huri,to turn,Maori
hurihuri,"to turn round and round, over and over",Maori
huritau,birthday,Maori
huruhuru,feather,Maori
huruhuru,body hair,Maori
huruhuru,fur,Maori
i nāianei,"now, (spelled as ināianei in older texts)",Maori
ia,"he, she, him, her",Maori
iho,downwards,Maori
ihu,nose,Maori
ika,fish,Maori
ina,"if, when",Maori
inā,"if, when",Maori
ine,to measure,Maori
ingoa,name,Maori
inu,to drink,Maori
ipu,"container, bowl",Maori
ira,dot,Maori
ira,gene,Maori
irirangi,radio (usually as reo irirangi),Maori
iti,"small, little",Maori
iwa,nine,Maori
iwi,tribe,Maori
ka,Verbal particle with a range of meanings; not directly translated with an English word,Maori
kā,"to burn, be alight",Maori
kaha,"strong, able",Maori
kāhore,Negative used for verb sentences – not (variant of kāore),Maori
kahu,"cloak, cape, covering",Maori
kahurangi,blue (colour),Maori
kahurangi,woman of high status or rank,Maori
kai,food,Maori
kaiako,teacher,Maori
kaikōrero,"speaker, orator",Maori
kaimahi,worker,Maori
kaimoana,seafood,Maori
kainga,kai + passive suffix -nga,Maori
kāinga,home,Maori
kaipuke,ship,Maori
kaipūtaiao,scientist,Maori
kaitā,"big, sturdy of build",Maori
kaitākaro,"player, sportsperson",Maori
kaitiaki,"caretaker, caregiver ",Maori
kaituhi,"writer, author",Maori
kaiwhakahaere,"manager, organiser",Maori
kākahu,"clothing, garment",Maori
kākano,seed,Maori
kakara,"scent, smell",Maori
kākāriki,green,Maori
kakau,handle,Maori
kake,to climb,Maori
kakī,neck,Maori
kamo,eye,Maori
kānga,corn,Maori
kanikani,"dance, to dance",Maori
kano,colour,Maori
kanohi,face,Maori
kāo,no!,Maori
kāore,Negative used for verb sentences – not,Maori
kapa,"group, row of people, as in: kapa haka",Maori
kāpata,cupboard,Maori
kāpene,captain,Maori
kapi,to be covered or occupied (of space),Maori
kāpia,glue,Maori
kapu,cup,Maori
kapua,cloud,Maori
kara,colour,Maori
karāhe,"glass, mirror",Maori
karaka,clock,Maori
karaka,orange (from the colour of ripe karaka berries),Maori
karakia,"prayer, to pray",Maori
karanga,to call,Maori
karani,"granny, grandmother",Maori
kararehe,animal,Maori
kare,"Term of address: E kare, dear ",Maori
kare,ripple,Maori
kare,"stove, heater",Maori
kāre,"Negative word – not, none",Maori
karere,messenger,Maori
kāreti,college,Maori
kāreti,carrot,Maori
kāri,card,Maori
kāri,playing card,Maori
karu,eye,Maori
kata,to laugh,Maori
kātahi,then,Maori
katakata,"to laugh and laugh, laughter",Maori
kāti,Stop! As in: Kāti te tangi – Stop crying,Maori
katoa,all,Maori
kau,"manner particle, as in: kāore kau, kāre kau, ehara kau",Maori
kau,cow,Maori
kau,swim,Maori
kaua,"Negative word, do not, eg: Kaua e tangi – Don’t cry",Maori
kauaka,"Negative word, do not (variant of kaua), eg:",Maori
kauhoe,to swim,Maori
kaukau,to bathe,Maori
kaumātua,elder; elderly,Maori
kaupapa,"topic, theme",Maori
kaute,to count,Maori
kauwhata,graph,Maori
kāwana,"government, governor",Maori
kāwanatanga,government,Maori
kawe,"to carry, convey",Maori
kawea,kawe + passive suffix -a,Maori
kawenga,"load, luggage, burden ",Maori
kāwhe,calf,Maori
kē,"already, instead",Maori
kēhua,ghost,Maori
kei,"Various uses, meanings, eg:",Maori
keke,cake,Maori
kekeno,seal,Maori
kēmu,game,Maori
kete,"basket, kit",Maori
ki,"Has various uses and meanings, eg: to, at",Maori
kī,to say,Maori
kī,to be full,Maori
kia,"Various uses, meanings. Often not translatable by an English word.",Maori
kīhai,"Negative word – not, used with the past tense",Maori
kīia,kī + passive suffix -ia,Maori
kiia,"crowded, full up",Maori
kimi,"to look for, seek",Maori
kimihia,kimi + passive suffix -hia,Maori
kino,bad,Maori
kiore,rat,Maori
kiri,skin,Maori
kirikiri,sand,Maori
kiromita,kilometre,Maori
kite,to see,Maori
kitea,kite + passive suffix -a,Maori
kitenga,"observation, seeing",Maori
kiwi,"kiwi, native bird",Maori
ko,Various uses; not usually translatable with an English word,Maori
kō,"at a distance, yonder",Maori
koa,please,Maori
koa,happy,Maori
koe,"you, one person",Maori
koha,gift,Maori
kōhanga,nest,Maori
kōhatu,stone,Maori
kohi,"to collect, gather together",Maori
kohikohi,"to collect, gather together",Maori
kōhua,to boil; cooking pot,Maori
koi,sharp,Maori
koia,"it is, so",Maori
koina,that is (near listener),Maori
koinei,this is,Maori
kōiwi,bone,Maori
kōkā,"mother, aunt",Maori
kōkiri,"to charge, rush at",Maori
konā,"there, by listener",Maori
konei,"here, by speaker",Maori
kongakonga,"small piece, fragment",Maori
kōpae,disc,Maori
kore,"zero, nothing",Maori
kōrere,tap,Maori
kōrero,"to talk, speak",Maori
kōrerorero,to discuss,Maori
kōrerotia,kōrero + passive suffix -tia,Maori
koro,"Term of address for an elderly man, grandfather: E koro",Maori
koroua,"elderly man, grandfather",Maori
kōrua,"you, two people",Maori
kotahi,one,Maori
kōtiro,girl,Maori
kōtuku,white heron,Maori
koutou,"you, three or more people",Maori
kōwhai,yellow (colour),Maori
kōwhai,"kōwhai, a native tree",Maori
kua,Verbal particle; indicating completed action or movement into a state,Maori
kuhu,"to enter, to go or come in",Maori
kui,"Term of address for an elderly woman, E kui.",Maori
kuia,"elderly woman, grandmother",Maori
kuini,queen,Maori
kukume,"to pull, to drag",Maori
kūmara,"kūmara, sweet potato",Maori
kūpenga,net,Maori
kupu,word,Maori
kura,school,Maori
kura,red,Maori
kura,red feather,Maori
kura,treasured item,Maori
kurī,dog,Maori
mā,"Various uses and meanings, eg by, for; plural marker and others, as in: I haere mai a Mere mā.",Maori
mā,white,Maori
mā,clean,Maori
maha,many,Maori
mahana,warm,Maori
māhanga,twin(s),Maori
mahara,"thought, memory",Maori
māharahara,"worried, anxious",Maori
mahara,,Maori
māhau,for you,Maori
mahere,"map, plan",Maori
mahi,"to do, work, make",Maori
mahia,mahi + passive suffix -a,Maori
mahue,to be left behind,Maori
māhunga,head,Maori
mai,towards the speaker in space or in orientation,Maori
māia,"capable, brave, bold",Maori
makariri,cold,Maori
makawe,"hair of the head (human), used in plural: ngā makawe",Maori
makere,to fall,Maori
makere,to come off,Maori
makere,to get down from,Maori
māku,"for me, by me",Maori
mākū,wet,Maori
māmā,"mother, mum, mummy (informal)",Maori
māmā,easy,Maori
mamae,"hurt, sore",Maori
mana,"prestige, authority",Maori
māna,"for him / her, by him / her",Maori
manaaki,"to look after, to show hospitality towards",Maori
manawa,heart,Maori
manga,stream,Maori
manga,branch,Maori
mano,thousand,Maori
manu,bird,Maori
manuhiri,guest,Maori
Māori,"Māori (people, language culture)",Maori
māori,"normal, ordinary, fresh (of water)",Maori
māra,garden,Maori
marae,marae,Maori
marama,"month, moon",Maori
mārama,"clear, understand",Maori
maramara,"crumbs, small pieces",Maori
marangai,"rain, storm",Maori
mārika,"indeed, quite, certainly; āe mārika",Maori
maringi,to spill,Maori
mārō,"hard (of texture, personality)",Maori
maroke,dry,Maori
mata,"face, surface",Maori
mata,"point, blade",Maori
mātaki,to watch,Maori
mātakitaki,"to watch, to observe, examine, inspect",Maori
mataku,"scared, afraid",Maori
mātao,cold,Maori
matapihi,window,Maori
matau,right (direction),Maori
matau,fish hook,Maori
mātau,"we, us (variant of mātou)",Maori
mātau,"to know, understand",Maori
mātauranga,"education, knowledge",Maori
mate,"to be sick, ill, dead",Maori
matekai,hungry,Maori
matimati,"finger, toe",Maori
mātou,"we, us (three or more, excluding addressee)",Maori
matū,"fat, chemical",Maori
matua,"parent, father ",Maori
mātua,"parents, fathers (plural form of matua)",Maori
mau,"to take, bring",Maori
mau,to be caught,Maori
mau,to wear clothes,Maori
māu,"for you, by you; ā category possession",Maori
māua,"we, us (two people, excluding addressee)",Maori
mauī,left (direction),Maori
maumahara,to remember / remember,Maori
maunga,mountain,Maori
mauri,life spirit,Maori
mauria,mau + passive suffix -ria,Maori
me,"Various meanings, uses, eg with, like, should",Maori
mea,thing,Maori
mea,to say,Maori
meatia,mea + passive suffix -tia,Maori
mehemea,"if (presuming not; cf. ki te, if, expressing simple uncertainty)",Maori
mēnā,if,Maori
meneti,minute,Maori
mere,short club,Maori
mere,"bush, shrub",Maori
mīere,honey,Maori
mīharo,to wonder at; amazing,Maori
mihi,to greet,Maori
mīhini,machine,Maori
miraka,milk,Maori
miriona,million,Maori
miro,thread,Maori
mita,metre,Maori
mīti,meat,Maori
mō,"for, unrealised, ō category possession, about",Maori
moana,sea,Maori
moe,to sleep,Maori
moe,to marry,Maori
moemoeā,to dream,Maori
moenga,bed,Maori
mōhio,to know,Maori
mōhiotanga,knowledge,Maori
mōhiotia,mōhio + passive suffix -tia,Maori
moka,"end, margin, piece",Maori
mōkai,pet,Maori
mokemoke,lonely,Maori
moko,Term of address to a grandchild: E moko,Maori
moko,tattoo,Maori
moko,lizard,Maori
mokomoko,lizard,Maori
mokopuna,grandchild,Maori
mōku,"for me, unrealised, o category possession",Maori
momo,"type, kind",Maori
mōna,"for him / her, unrealised, o category possession",Maori
moni,money,Maori
motokā,"car, motorcar",Maori
motu,island,Maori
motu,"cut, cut off",Maori
motuhake,special,Maori
moutere,island,Maori
mua,"front, before",Maori
mura,"blaze, flame",Maori
muri,"behind, after",Maori
mutu,"be ended, finished (but not necessarily completed)",Maori
mutunga,"end, mutu + noun ending -nga",Maori
nā,"Various meanings, eg by, belonging to (ā category), by way of ",Maori
nāianei,now,Maori
nāku,"mine, realised possession, ā category",Maori
nama,number,Maori
nāna,"by him / her, belonging to him / her",Maori
nanakia,rascal,Maori
nau,"come, go: as in: Nau mai!",Maori
nāwai,"presently, in due course, after a while",Maori
nē,"tag question, translated variously depending on the English structure; eh?",Maori
nei,"here, by speaker",Maori
neke,to move,Maori
nekeneke,to move gradually,Maori
ngā,"the, plural",Maori
ngahere,forest,Maori
ngākau,"heart, as in seat of the affections and feelings",Maori
ngārara,"reptile, monster",Maori
ngaro,"to be lost, missing, gone",Maori
ngaru,wave,Maori
ngata,snail,Maori
ngata,to be satisfied,Maori
ngātahi,together,Maori
Ngāti,"tribal name prefix, as in: Ngāti Porou, Ngāti Kahungunu",Maori
ngau,to bite,Maori
ngaungau,"to chew, a snack",Maori
ngāwari,easy,Maori
ngāwari,"soft, supple of texture",Maori
ngāwari,"kind, pleasant of personality",Maori
ngenge,tired,Maori
ngeru,cat,Maori
ngunguru,to growl,Maori
ngutu,"lip, lips",Maori
niho,tooth,Maori
nō,"Various meanings: from, of, belonging to (ō category)",Maori
noa,"Various meanings, eg only, just, merely",Maori
noho,to sit,Maori
noho,to stay,Maori
noho,to live,Maori
noke,worm,Maori
nōku,"mine, realised possession, ō category",Maori
nōna,"his, her, realised possession, ō category",Maori
nui,"big, great, many",Maori
nuinga,majority,Maori
nuku,to move,Maori
nunui,big (plural form),Maori
o,"Has several uses: of, belonging to",Maori
ō,"your, one person, neutral category possession, plural ",Maori
oho,to wake up,Maori
ohorere,"to start suddenly, be startled",Maori
ōku,"mine, plural, ō category possession",Maori
oma,"to run, escape",Maori
ōna,"his / her, plural, ō category possession",Maori
one,"beach, sand",Maori
oneone,"earth, soil",Maori
ono,six,Maori
ope,group travelling together,Maori
ora,"alive, well, healthy, safe",Maori
oranga,"health, life",Maori
oreore,"to shake, quiver",Maori
ōrite,to be the same as,Maori
otaota,"vegetation, herbs, grass, weeds",Maori
oti,to be completed,Maori
otirā,"but, on the other hand",Maori
ōu,"yours, one person, ō category possession, plural",Maori
pā,"to touch, to affect",Maori
pā,Term of address for father: E pā,Maori
pā,a fortified settlement,Maori
pae,to be cast ashore,Maori
pae,"to lay horizontally; horizon, ridge of hills",Maori
pae,circumference,Maori
paepae,container,Maori
paepae,speakers’ bench on the marae,Maori
pahi,bus,Maori
pāhi,"purse, to pass",Maori
pahū,"to explode, burst; bomb",Maori
pahū,drum,Maori
pai,good,Maori
painga,"benefit, skill, good qualities",Maori
paipa,pipe,Maori
pakanga,"to fight, battle, war, hostility",Maori
pakari,strong,Maori
pakari,"mature, ripe",Maori
pakaru,"broken, shattered",Maori
pakaru,broken down,Maori
Pākehā,Pakehā,Maori
pakeke,"grown up, adult",Maori
pakeke,"hard, stiff",Maori
pākete,packet,Maori
pākete,bucket,Maori
paki,"to slap, to pat",Maori
pakipaki,"to applaud, to clap; applause",Maori
pakitara,wall,Maori
pakiwaitara,story,Maori
paku,small,Maori
pakupaku,very small,Maori
pāmu,farm,Maori
pana,"to push away, to expel",Maori
panana,banana,Maori
panga,to throw,Maori
panga,"puzzle, riddle",Maori
pāngarau,mathematics,Maori
pango,black,Maori
pani,orphan; to be orphaned,Maori
pānui,to read ,Maori
pānui,"to publish, advertise; notice, advertisement",Maori
paoro,ball,Maori
papa,"floor, ground, flat surface",Maori
pāpā,"father, uncle",Maori
parakuihi,breakfast,Maori
parāoa,"bread, flour",Maori
parauri,brown,Maori
pare,"headband, headdress",Maori
pare,"to ward off, to divert",Maori
pari,cliff,Maori
parirau,wing,Maori
paru,"dirt, mud, dirty",Maori
paruparu,"dirt, mud",Maori
pata,butter,Maori
pātai,question; to ask a question,Maori
pātata,close (of distance),Maori
pātene,button,Maori
pātiki,flounder (fish),Maori
pātītī,grass,Maori
patu,"to strike, beat, thrash",Maori
patu,to kill,Maori
patua,patu + passive suffix -a,Maori
pau,"to be consumed, used up completely, all gone",Maori
pāua,pāua (abalone),Maori
pea,"maybe, perhaps",Maori
pea,pear,Maori
pea,bear,Maori
pea,pair,Maori
pēhea,how?,Maori
peita,paint,Maori
peka,branch,Maori
pēkana,bacon,Maori
pekapeka,bat,Maori
peke,"to jump, to leap over",Maori
pēke,bag,Maori
pēnā,"like that, near listener",Maori
pene,pen,Maori
pēnei,"like this, near speaker",Maori
pepa,paper,Maori
pēpi,baby,Maori
pērā,"like that, yonder",Maori
pere,bell,Maori
pēwhea,how? (variant of pēhea),Maori
pī,bee,Maori
piki,to climb,Maori
piki,to increase,Maori
pikitia,"picture, film",Maori
pīpī,"chick, baby",Maori
pīrangi,"to want, desire",Maori
pirau,rotten,Maori
piri,"to stick to, to cling",Maori
pirihimana,police officer,Maori
piriti,bridge,Maori
piro,"stinking, putrid",Maori
pito,"end, extremity",Maori
pito,belly button,Maori
piupiu,"flax skirt worn as part of traditional costume, eg in kapa haka",Maori
pō,night,Maori
poaka,pig,Maori
pōhatu,stone,Maori
pōhēhē,"to think mistakenly, be mistaken",Maori
poi,"poi, small, soft ball on string",Maori
poka,"hole; to make a hole in, to pierce",Maori
pono,"true, faithful",Maori
poraka,frog,Maori
poraka,jersey,Maori
poro,"to cut off, to cut short",Maori
pōro,ball,Maori
porohita,"circle, round (variant of porowhita)",Maori
porowhita,"circle, round (variant of porohita)",Maori
pōtae,hat,Maori
poti,cat,Maori
poti,boat,Maori
poto,short,Maori
pou,"pole, post",Maori
pouaka,box,Maori
pouaka whakaata,television,Maori
pounamu,greenstone,Maori
pōuri,"sad, dark",Maori
pū,letter (of the alphabet),Maori
pū,gun,Maori
pū,to blow gently,Maori
puare,"open, opening",Maori
puehu,dust,Maori
puhi,to blow (wind),Maori
pūkaha,engine,Maori
pukapuka,book,Maori
pukapuka,lungs,Maori
puke,hill,Maori
pūkenga,"skilled, expert",Maori
puku,"stomach, belly",Maori
pūmau,"fixed, permanent",Maori
puna,"pool, spring",Maori
pūngāwerewere,spider,Maori
punua,young animal,Maori
puoro,"to sing, to rumble",Maori
pupū,to boil ,Maori
pupū,"to bubble up, arise from",Maori
pupuhi,to blow (of the wind),Maori
pupuhi,to shoot,Maori
pupuri,to hold onto,Maori
pūrākau,traditional story,Maori
purapura,seed,Maori
purei,to play / play,Maori
pūrere,"appliance, machine (electric)",Maori
pūrerehua,butterfly,Maori
puru,"to block up, plug",Maori
puru,"to put, place somewhere",Maori
purua,puru + passive suffix -a,Maori
puta,"to appear, to come out",Maori
pūtaiao,science,Maori
pūtake,"reason, cause",Maori
pūtake,root,Maori
putanga,"opening, exit",Maori
pūtea,"budget, resources",Maori
putiputi,flower,Maori
putu,"to heap up; a heap, pile",Maori
rā,"Various uses, meanings, eg over there ",Maori
rā,sun,Maori
rā,day,Maori
rahi,large,Maori
rākau,tree; timber,Maori
raki,north,Maori
rama,"light, torch",Maori
rānei,or,Maori
rangatahi,youth,Maori
rangatira,"chief, leader, boss",Maori
rangi,"sky, day",Maori
rango,"fly, blowfly",Maori
rangona,to be heard (passive form of rongo),Maori
rapa,to look for ,Maori
rapu,to look for,Maori
rārangi,"line, row",Maori
raro,under,Maori
raru,"trouble; to be in difficulty, in trouble",Maori
raruraru,"trouble, be in difficulty, in trouble",Maori
rata,"friendly, at ease, calm",Maori
rātou,"they, them, three or more people",Maori
rau,hundred,Maori
rau,leaf,Maori
rau,to put into,Maori
rāua,"they, them, two people",Maori
rawa,"Various meanings, eg quite, very",Maori
rawe,"lovely, excellent",Maori
rāwhiti,east,Maori
rēhia,"pleasure, amusement",Maori
reira,there (previously mentioned),Maori
reka,sweet,Maori
rekareka,"pleasant, delighted",Maori
reo,"language, voice",Maori
rere,to fly,Maori
rere,to flow,Maori
rere,to sail,Maori
rere,to escape,Maori
rerekē,"different, changed",Maori
rerenga,voyage,Maori
rerenga,"escape, running away",Maori
rererangi,airplane,Maori
reri,ready,Maori
reta,letter,Maori
reti,"to skate, slide",Maori
retireti,"skates, skating",Maori
rima,five,Maori
ringa,"hand, arm",Maori
ringaringa,"hand, arm",Maori
rino,iron,Maori
rīpene,"ribbon, tape",Maori
riri,"anger, angry",Maori
riro,"be obtained, be carried away, gone away",Maori
rita,litre,Maori
rite,like,Maori
rīwai,potato,Maori
rō,"in (short form of roto, as in: ki rō whare)",Maori
roa,long,Maori
roanga,length of time,Maori
